Venue,Date,Description,Location,
La Zona Rosa,1/30/99,,"Austin, TX",
Depot Warehouse,2/5/99,,"Lubbock, TX",
The Lodge,2/6/99,,"Granbury, TX",
Bryan Thomas Private Party,2/20/99,,,
Poor David's Pub,2/25/99,,"Dallas, TX",
Babe's,2/26/99,Kevin Fowler opening,"Austin, TX",
Gooey Louie's,2/27/99,,"Denton, TX",
Threadgill's,3/3/99,,"Austin, TX",
Aardvark,3/4/99,,"Fort Worth, TX",
The Tap  ,3/5/99,,"College Station, TX",
KA Southwestern,3/6/99,,"Georgetown, TX",
Sue Steele Party,3/8/99,,,
Billy Bob's Texas,3/19/99,,"Fort Worth, TX",
Royal Theater Restoration Fund,3/20/99,,"Archer City, TX",
Southwestern Phi Delt,3/26/99,,"Georgetown, TX",
Poor David's Pub,4/1/99,,"Dallas, TX",
Blanco's,4/3/99,,"Houston, TX",
Gooey Louie's,4/9/99,,"Denton, TX",
Sam Houston U - Delts,4/10/99,,"Huntsville, TX",
UT ATO,4/11/99,,"Austin, TX",
Aardvark,4/15/99,,"Fort Worth, TX",
Larry Joe Taylor,4/16/99,,"Meridian, TX",
Arthur Anderson Party ,4/29/99,with Paul Lee,"Snook, TX",
City Limits,4/30/99,,"Stephenville, TX",
KPMG,5/1/99,,"College Station, TX",
Texas A&M KAT,5/1/99,,"Lake Bryan, TX",
TCU Sigma Phi Epsilon,5/2/99,,"Fort Worth, TX",
Blanco's,5/8/99,,"Houston, TX",
Poor David's Pub,5/14/99,,"Dallas, TX",
The Lodge,5/15/99,,"Granbury, TX",
McGonigel's Mucky Duck,5/18/99,,"Houston, TX",
Poor David's Pub,5/20/99,,"Dallas, TX",
Blanco's,5/27/99,,"Houston, TX",
White Elephant,5/29/99,,"Fort Worth, TX",
Meredith Casey Ursuline Party,6/8/99,,"Dallas, TX",
Aardvark,6/10/99,,"Fort Worth, TX",
Poor David's Pub,6/17/99,,"Dallas, TX",
Babe's,6/24/99,,"Austin, TX",
Texas Back Road Association,6/26/99,,"Corsicana, TX",
Wanna Wanna Bar,7/2/99,,"South Padre Island, TX",
Wanna Wanna Bar,7/3/99,,"South Padre Island, TX",
Columbus Party,7/4/99,,"Columbus, TX",
La Zona Rosa,7/10/99,,"Austin, TX",
Hootenanny's,7/16/99,,,
Rick's Place,7/28/99,,"Denton, TX",
City Limits,8/6/99,,"Stephenville, TX",
Poor David's Pub,8/7/99,,"Dallas, TX",
Neon Spur,8/13/99,,"Wichita Falls, TX",
Sons of Hermann Hall,8/15/99,,"Dallas, TX",
SMU Fiji,8/21/99,,"Dallas, TX",
Bronco Bowl,8/21/99,,"Dallas, TX",
Shadow Canyon,9/2/99,,"College Station, TX",
Billy Bob's Texas,9/3/99,,"Fort Worth, TX",
Jon Schulz Wedding,9/4/99,,"Austin, TX",
Papa's on the Lake,9/5/99,,"Conroe, TX",
Aggie 96 at Lake Bryan,9/6/99,,"Bryan, TX",
La Zona Rosa,9/9/99,,"Austin, TX",
City Limits,9/10/99,,"Stephenville, TX",
Dan's Bar,9/11/99,,"Denton, TX",
Gruene Hall,9/12/99,,"New Braunfels, TX",
UT Pikes,9/13/99,,"Austin, TX",
Poor David's Pub,9/17/99,,"Dallas, TX",
Melody Ranch,9/18/99,,"Waco, TX",
Cibolo Creek Country Club,9/19/99,,"Selma, TX",
Gordo's,9/23/99,with Randy Rogers?,"San Marcos, TX",
Golden Light Cantina,9/25/99,,"Amarillo, TX",
Texas Tech SAE,9/27/99,,"Lubbock, TX",
Blanco's,9/30/99,,"Houston, TX",
Conroe Cajun Catfish Festival,10/9/99,,"Conroe, TX",
McGonigel's Mucky Duck,10/19/99,,"Houston, TX",
Babe's,10/22/99,,"Austin, TX",
La Zona Rosa,10/27/99,,"Austin, TX",
Jesuit Academy,11/1/99,,,
E2 Corp Unit Party,11/6/99,,"College Station, TX",
Tom Ramsay Party,11/22/99,,,
SMU KA,11/22/99,,"Dallas, TX",
Stubb's Barbecue,12/2/99,,"Austin, TX",
Blanco's,12/3/99,,"Houston, TX",
Gypsy Tea Room,1/8/00,,"Dallas, TX",
Steve Rasor Party,1/14/00,,"Arlington, TX",
Dan's Bar,1/20/00,,"Denton, TX",
Firehouse Saloon,1/21/00,,"Houston, TX",
KA Party,1/22/00,,,
McGonigel's Mucky Duck,1/25/00,,"Houston, TX",
Sons of Hermann Hall,1/28/00,,"Dallas, TX",
Aardvark,1/28/00,,"Fort Worth, TX",
Private   ,1/29/00,,,
Shadow Canyon,2/3/00,,"College Station, TX",
Texas Hall of Fame,2/4/00,,"Bryan, TX",
Depot Warehouse,2/5/00,,"Lubbock, TX",
Gypsy Tea Room,2/10/00,,"Dallas, TX",
Mango's,2/11/00,,"Austin, TX",
Babe's,2/19/00,,"Austin, TX",
Gordo's,2/24/00,,"San Marcos, TX",
White Elephant,2/26/00,,"Fort Worth, TX",
Blanco's,3/2/00,paid Kevin Fowler $50 to open,"Houston, TX",
Cibolo Creek Country Club,3/4/00,,"Selma, TX",
Shulz Party,3/10/00,,"Austin, TX",
Poor David's Pub,3/11/00,,"Dallas, TX",
Wanna Wanna Bar,3/14/00,,"South Padre Island, TX",
Wanna Wanna Bar,3/15/00,,"South Padre Island, TX",
Wanna Wanna Bar,3/16/00,,"South Padre Island, TX",
Wanna Wanna Bar,3/17/00,,"South Padre Island, TX",
Wanna Wanna Bar,3/18/00,,"South Padre Island, TX",
Dan's Bar,3/23/00,,"Denton, TX",
Private   ,3/25/00,,,
Aardvark,3/30/00,,"Fort Worth, TX",
Southwestern Party,4/1/00,,"Georgetown, TX",
Rick's Place,4/6/00,,"Denton, TX",
JD McCall's,4/7/00,,"Wichita Falls, TX",
Texas Hall of Fame,4/8/00,,"Bryan, TX",
Melody Ranch,4/13/00,,"Waco, TX",
Shenanigan's,4/14/00,,"Huntsville, TX",
Tutter's,4/15/00,,"Conroe, TX",
UT Polo Team,4/16/00,,"Houston, TX",
Gypsy Tea Room,4/20/00,,"Dallas, TX",
Firehouse Saloon,4/22/00,,"Houston, TX",
SMU KA,4/29/00,,"Dallas, TX",
Aardvark,5/4/00,,"Fort Worth, TX",
Walburg Party,5/6/00,,"Walburg, TX",
KCTI Fest - Club 21,5/7/00,,"Uhland, TX",
,5/21/00,,"Austin, TX",
Executive Surf Club,5/22/00,,"Corpus Christi, TX",
Firehouse Saloon,5/23/00,,"Houston, TX",
The Tap  ,5/24/00,,"College Station, TX",
Poor David's Pub,5/25/00,,"Dallas, TX",
Firehouse Saloon,5/27/00,,"Houston, TX",
Cibolo Creek Country Club,6/2/00,,"Selma, TX",
White Elephant,6/3/00,,"Fort Worth, TX",
Poor David's Pub,6/9/00,,"Dallas, TX",
Montgomery Old West Fest,6/10/00,,"Montgomery, TX",
River Oaks Music Festival,6/10/00,,"Houston, TX",
306 Blues Bar,6/17/00,,"Gainesville, TX",
Cowboy's Red River,6/21/00,,"Dallas, TX",
3rd Floor Cantina,6/23/00,,"College Station, TX",
